date,currency_from,currency_to,rate
2022-07-22,GBP,PLN,4.9482
2022-07-22,JPY,PLN,0.0273
2022-07-22,CHF,PLN,0.4431
2022-07-22,CAD,PLN,2.9838
2022-07-23,USD,PLN,4.0253
2022-07-23,EUR,PLN,4.2447
2022-07-23,GBP,PLN,5.0453
2022-07-23,JPY,PLN,0.0269
2022-07-23,CHF,PLN,4.586
2022-07-23,CAD,PLN,3.0295
2022-07-24,USD,PLN,4.0479
2022-07-24,EUR,PLN,4.3347
2022-07-24,GBP,PLN,4.9692
2022-07-24,JPY,PLN,0.0266
2022-07-24,CHF,PLN,4.4895
2022-07-24,CAD,PLN,2.9786
2022-07-25,USD,PLN,3.9659
2022-07-25,EUR,PLN,4.2841
2022-07-25,GBP,PLN,5.0983
2022-07-25,JPY,PLN,0.0268
2022-07-25,CHF,PLN,4.4101
2022-07-25,CAD,PLN,2.9912
2022-07-26,USD,PLN,4.0597
2022-07-26,EUR,PLN,4.2457
2022-07-26,GBP,PLN,5.0444
2022-07-26,JPY,PLN,0.0269
2022-07-26,CHF,PLN,4.4671
2022-07-26,CAD,PLN,3.0408
2022-07-27,USD,PLN,39.7805
2022-07-27,EUR,PLN,4.2207
2022-07-27,GBP,PLN,4.9508
2022-07-27,JPY,PLN,0.027
2022-07-27,CHF,PLN,4.5113
2022-07-27,CAD,PLN,3.0119
2022-07-28,USD,PLN,4.0725
2022-07-28,EUR,PLN,4.2475
2022-07-28,GBP,PLN,4.9738
2022-07-28,JPY,PLN,0.0274
2022-07-28,CHF,PLN,4.4966
2022-07-28,CAD,PLN,3.0558
2022-07-29,USD,PLN,3.9218
2022-07-29,EUR,PLN,4.3578
2022-07-29,GBP,PLN,5.0854
2022-07-29,JPY,PLN,0.0265
2022-07-29,CHF,PLN,4.5069
2022-07-29,CAD,PLN,2.9801
2022-07-30,USD,PLN,4.0537
2022-07-30,EUR,PLN,4.2686
2022-07-30,GBP,PLN,4.9031
2022-07-30,JPY,PLN,0.0269
2022-07-30,CHF,PLN,4.4472
2022-07-30,CAD,PLN,3.0418
2022-07-31,USD,PLN,3.9517
2022-07-31,EUR,PLN,4.2935
2022-07-31,GBP,PLN,4.954
2022-07-31,JPY,PLN,0.027
2022-07-31,CHF,PLN,4.4408
2022-07-31,CAD,PLN,3.0553
2022-08-01,USD,PLN,4.0118
2022-08-01,EUR,PLN,42.963
2022-08-01,GBP,PLN,5.0038
2022-08-01,JPY,PLN,0.0275
2022-08-01,CHF,PLN,4.4991
2022-08-01,CAD,PLN,2.9595
2022-08-02,USD,PLN,0.3994
2022-08-02,EUR,PLN,4.2621
2022-08-02,GBP,PLN,5.0106
2022-08-02,JPY,PLN,0.0265
2022-08-02,CHF,PLN,4.5466
2022-08-02,CAD,PLN,2.9886
2022-08-03,USD,PLN,3.9722
2022-08-03,EUR,PLN,4.3437
2022-08-03,GBP,PLN,4.9607
2022-08-03,JPY,PLN,0.0275
2022-08-03,CHF,PLN,4.575
2022-08-03,CAD,PLN,2.9643
2022-08-04,USD,PLN,3.983
2022-08-04,EUR,PLN,4.3001
2022-08-04,GBP,PLN,5.0585
2022-08-04,JPY,PLN,0.0265
2022-08-04,CHF,PLN,4.5193
2022-08-04,CAD,PLN,3.0218
2022-08-05,USD,PLN,4.0794
2022-08-05,EUR,PLN,4.3454
2022-08-05,GBP,PLN,4.9998
2022-08-05,JPY,PLN,0.0275
2022-08-05,CHF,PLN,4.5232
2022-08-05,CAD,PLN,3.0139
2022-08-06,USD,PLN,0.4032
2022-08-06,EUR,PLN,4.3531
2022-08-06,GBP,PLN,0.4904
2022-08-06,JPY,PLN,0.027
2022-08-06,CHF,PLN,4.5531
2022-08-06,CAD,PLN,3.049
2022-08-07,USD,PLN,3.9957
2022-08-07,EUR,PLN,4.2606
2022-08-07,GBP,PLN,5.0403
2022-08-07,JPY,PLN,0.0267
2022-08-07,CHF,PLN,4.4679
2022-08-07,CAD,PLN,2.9436
2022-08-08,USD,PLN,3.9876
2022-08-08,EUR,PLN,4.3308
2022-08-08,GBP,PLN,4.9975
2022-08-08,JPY,PLN,0.0266
2022-08-08,CHF,PLN,4.5269
2022-08-08,CAD,PLN,3.0446
2022-08-09,USD,PLN,4.0329
2022-08-09,EUR,PLN,4.2991
2022-08-09,GBP,PLN,4.9405
2022-08-09,JPY,PLN,0.0273
2022-08-09,CHF,PLN,4.5841
2022-08-09,CAD,PLN,2.9937
2022-08-10,USD,PLN,4.066
2022-08-10,EUR,PLN,4.2785
2022-08-10,GBP,PLN,4.9429
2022-08-10,JPY,PLN,0.027
2022-08-10,CHF,PLN,4.5894
2022-08-10,CAD,PLN,2.9908
2022-08-11,USD,PLN,4.0797
2022-08-11,EUR,PLN,4.3827
2022-08-11,GBP,PLN,4.9127
2022-08-11,JPY,PLN,0.0268
2022-08-11,CHF,PLN,4.508
2022-08-11,CAD,PLN,3.0294
2022-08-12,USD,PLN,3.9724
2022-08-12,EUR,PLN,4.2453
2022-08-12,GBP,PLN,4.9776
2022-08-12,JPY,PLN,0.0271
2022-08-12,CHF,PLN,4.5157
2022-08-12,CAD,PLN,3.0055
2022-08-13,USD,PLN,3.9213
2022-08-13,EUR,PLN,4.3052
2022-08-13,GBP,PLN,4.9017
2022-08-13,JPY,PLN,0.0272
2022-08-13,CHF,PLN,4.5647
2022-08-13,CAD,PLN,2.9711
2022-08-14,USD,PLN,3.991
2022-08-14,EUR,PLN,4.3073
2022-08-14,GBP,PLN,5.0332
2022-08-14,JPY,PLN,0.0269
2022-08-14,CHF,PLN,4.4132
2022-08-14,CAD,PLN,3.0479
2022-08-15,USD,PLN,3.9467
2022-08-15,EUR,PLN,4.2334
2022-08-15,GBP,PLN,4.9631
2022-08-15,JPY,PLN,0.0269
2022-08-15,CHF,PLN,4.5151
2022-08-15,CAD,PLN,2.9442
2022-08-16,USD,PLN,4.0387
2022-08-16,EUR,PLN,4.3167
2022-08-16,GBP,PLN,4.9432
2022-08-16,JPY,PLN,0.0267
2022-08-16,CHF,PLN,4.4211
2022-08-16,CAD,PLN,0.2988
2022-08-17,USD,PLN,3.9781
2022-08-17,EUR,PLN,4.2843
2022-08-17,GBP,PLN,5.0262
2022-08-17,JPY,PLN,0.0274
2022-08-17,CHF,PLN,4.5338
2022-08-17,CAD,PLN,2.9782
2022-08-18,USD,PLN,4.035
2022-08-18,EUR,PLN,4.2262
2022-08-18,GBP,PLN,5.0121
2022-08-18,JPY,PLN,0.0274
2022-08-18,CHF,PLN,4.4545
2022-08-18,CAD,PLN,2.9656
2022-08-19,USD,PLN,4.0093
2022-08-19,EUR,PLN,4.2965
2022-08-19,GBP,PLN,5.098
2022-08-19,JPY,PLN,0.0275
2022-08-19,CHF,PLN,45.4903
2022-08-19,CAD,PLN,2.9769
2022-08-20,USD,PLN,3.9751
2022-08-20,EUR,PLN,4.23
2022-08-20,GBP,PLN,5.097
2022-08-20,JPY,PLN,0.027
2022-08-20,CHF,PLN,4.5871
2022-08-20,CAD,PLN,2.9662
2022-08-21,USD,PLN,39.9268
2022-08-21,EUR,PLN,4.2414
2022-08-21,GBP,PLN,4.9146
2022-08-21,JPY,PLN,0.0272
2022-08-21,CHF,PLN,4.5298
2022-08-21,CAD,PLN,3.0528
2022-08-22,USD,PLN,3.9576
2022-08-22,EUR,PLN,4.2387
2022-08-22,GBP,PLN,4.9552
2022-08-22,JPY,PLN,0.0268
2022-08-22,CHF,PLN,4.5535
2022-08-22,CAD,PLN,3.0389
2022-08-23,USD,PLN,4.0679
2022-08-23,EUR,PLN,4.3008
2022-08-23,GBP,PLN,5.022
2022-08-23,JPY,PLN,0.027
2022-08-23,CHF,PLN,4.5249
2022-08-23,CAD,PLN,30.1068
2022-08-24,USD,PLN,3.9825
2022-08-24,EUR,PLN,4.2531
2022-08-24,GBP,PLN,4.9799
2022-08-24,JPY,PLN,0.027
2022-08-24,CHF,PLN,4.5635
2022-08-24,CAD,PLN,0.297
2022-08-25,USD,PLN,40.4394
2022-08-25,EUR,PLN,4.2939
2022-08-25,GBP,PLN,4.9421
2022-08-25,JPY,PLN,0.0266
2022-08-25,CHF,PLN,4.5487
2022-08-25,CAD,PLN,3.051
2022-08-26,USD,PLN,4.0756
2022-08-26,EUR,PLN,4.23
2022-08-26,GBP,PLN,5.0116
2022-08-26,JPY,PLN,0.0272
2022-08-26,CHF,PLN,4.5459
2022-08-26,CAD,PLN,2.9538
2022-08-27,USD,PLN,3.9556
2022-08-27,EUR,PLN,4.3542
2022-08-27,GBP,PLN,5.0447
2022-08-27,JPY,PLN,0.0268
2022-08-27,CHF,PLN,4.5632
2022-08-27,CAD,PLN,2.9564
2022-08-28,USD,PLN,3.939
2022-08-28,EUR,PLN,4.3298
2022-08-28,GBP,PLN,4.9285
2022-08-28,JPY,PLN,0.0267
2022-08-28,CHF,PLN,4.5721
2022-08-28,CAD,PLN,3.0195
2022-08-29,USD,PLN,3.9457
2022-08-29,EUR,PLN,4.3568
2022-08-29,GBP,PLN,5.0789
2022-08-29,JPY,PLN,0.0027
2022-08-29,CHF,PLN,4.472
2022-08-29,CAD,PLN,3.0579
2022-08-30,USD,PLN,4.0003
2022-08-30,EUR,PLN,4.3219
2022-08-30,GBP,PLN,4.9943
2022-08-30,JPY,PLN,0.0267
2022-08-30,CHF,PLN,4.5885
2022-08-30,CAD,PLN,3.0124
2022-08-31,USD,PLN,4.0759
2022-08-31,EUR,PLN,4.3819
2022-08-31,GBP,PLN,4.9358
2022-08-31,JPY,PLN,0.0265
2022-08-31,CHF,PLN,4.4575
2022-08-31,CAD,PLN,2.9664
2022-09-01,USD,PLN,3.9359
2022-09-01,EUR,PLN,4.2741
2022-09-01,GBP,PLN,4.9199
2022-09-01,JPY,PLN,0.0272
2022-09-01,CHF,PLN,4.5126
2022-09-01,CAD,PLN,3.0222
2022-09-02,USD,PLN,4.0523
2022-09-02,EUR,PLN,4.3566
2022-09-02,GBP,PLN,5.0368
2022-09-02,JPY,PLN,0.0266
2022-09-02,CHF,PLN,0.4466
2022-09-02,CAD,PLN,3.0114
2022-09-03,USD,PLN,3.9673
2022-09-03,EUR,PLN,4.2303
2022-09-03,GBP,PLN,4.9871
2022-09-03,JPY,PLN,0.0268
2022-09-03,CHF,PLN,4.5749
2022-09-03,CAD,PLN,3.0394
2022-09-04,USD,PLN,4.0017
2022-09-04,EUR,PLN,4.3179
2022-09-04,GBP,PLN,5.0336
2022-09-04,JPY,PLN,0.0274
2022-09-04,CHF,PLN,4.5752
2022-09-04,CAD,PLN,3.0587
2022-09-05,USD,PLN,3.9432
2022-09-05,EUR,PLN,4.2415
2022-09-05,GBP,PLN,5.0446
2022-09-05,JPY,PLN,0.0269
2022-09-05,CHF,PLN,4.4959
2022-09-05,CAD,PLN,2.9905
2022-09-06,USD,PLN,3.9278
2022-09-06,EUR,PLN,4.2334
2022-09-06,GBP,PLN,4.9106
2022-09-06,JPY,PLN,0.0266
2022-09-06,CHF,PLN,4.5746
2022-09-06,CAD,PLN,2.9829
2022-09-07,USD,PLN,4.0038
2022-09-07,EUR,PLN,4.3319
2022-09-07,GBP,PLN,4.9747
2022-09-07,JPY,PLN,0.0273
2022-09-07,CHF,PLN,4.5595
2022-09-07,CAD,PLN,2.951
2022-09-08,USD,PLN,4.0101
2022-09-08,EUR,PLN,0.4344
2022-09-08,GBP,PLN,5.0589
2022-09-08,JPY,PLN,0.0269
2022-09-08,CHF,PLN,4.4154
2022-09-08,CAD,PLN,0.3031
2022-09-09,USD,PLN,3.9802
2022-09-09,EUR,PLN,4.2147
2022-09-09,GBP,PLN,5.0127
2022-09-09,JPY,PLN,0.0265
2022-09-09,CHF,PLN,4.5531
2022-09-09,CAD,PLN,2.972
2022-09-10,USD,PLN,3.9738
2022-09-10,EUR,PLN,4.3311
2022-09-10,GBP,PLN,5.0148
2022-09-10,JPY,PLN,0.0267
2022-09-10,CHF,PLN,4.579
2022-09-10,CAD,PLN,3.0124
2022-09-11,USD,PLN,4.0077
2022-09-11,EUR,PLN,4.3576
2022-09-11,GBP,PLN,5.0137
2022-09-11,JPY,PLN,0.0273
2022-09-11,CHF,PLN,4.4307
2022-09-11,CAD,PLN,2.9616
2022-09-12,USD,PLN,4.0023
2022-09-12,EUR,PLN,4.2804
2022-09-12,GBP,PLN,4.9491
2022-09-12,JPY,PLN,0.0265
2022-09-12,CHF,PLN,4.4981
2022-09-12,CAD,PLN,2.9652
2022-09-13,USD,PLN,3.9485
2022-09-13,EUR,PLN,4.3769
2022-09-13,GBP,PLN,49.8401
2022-09-13,JPY,PLN,0.0272
2022-09-13,CHF,PLN,4.4293
2022-09-13,CAD,PLN,2.9678
2022-09-14,USD,PLN,0.3963
2022-09-14,EUR,PLN,4.247
2022-09-14,GBP,PLN,5.0235
2022-09-14,JPY,PLN,0.0274
2022-09-14,CHF,PLN,4.4963
2022-09-14,CAD,PLN,3.0194
2022-09-15,USD,PLN,3.9586
2022-09-15,EUR,PLN,4.2323
2022-09-15,GBP,PLN,5.039
2022-09-15,JPY,PLN,0.0267
2022-09-15,CHF,PLN,4.4605
2022-09-15,CAD,PLN,2.9823
2022-09-16,USD,PLN,4.0475
2022-09-16,EUR,PLN,4.3003
2022-09-16,GBP,PLN,5.0372
2022-09-16,JPY,PLN,0.027
2022-09-16,CHF,PLN,4.5186
2022-09-16,CAD,PLN,3.0383
2022-09-17,USD,PLN,3.9874
2022-09-17,EUR,PLN,4.3179
2022-09-17,GBP,PLN,4.9491
2022-09-17,JPY,PLN,0.0271
2022-09-17,CHF,PLN,4.4223
2022-09-17,CAD,PLN,3.0375
2022-09-18,USD,PLN,3.9385
2022-09-18,EUR,PLN,4.2799
2022-09-18,GBP,PLN,5.0498
2022-09-18,JPY,PLN,0.0266
2022-09-18,CHF,PLN,4.4822
2022-09-18,CAD,PLN,3.003
2022-09-19,USD,PLN,4.053
2022-09-19,EUR,PLN,4.3548
2022-09-19,GBP,PLN,4.9451
2022-09-19,JPY,PLN,0.0272
2022-09-19,CHF,PLN,4.581
2022-09-19,CAD,PLN,2.9708
2022-09-20,USD,PLN,3.9828
2022-09-20,EUR,PLN,4.3312
2022-09-20,GBP,PLN,5.0274
2022-09-20,JPY,PLN,0.0275
2022-09-20,CHF,PLN,4.4223
2022-09-20,CAD,PLN,3.0278
2022-09-21,USD,PLN,3.924
2022-09-21,EUR,PLN,4.3418
2022-09-21,GBP,PLN,4.9143
2022-09-21,JPY,PLN,0.0266
2022-09-21,CHF,PLN,4.5384
2022-09-21,CAD,PLN,3.0255
2022-09-22,USD,PLN,4.0119
2022-09-22,EUR,PLN,4.2171
2022-09-22,GBP,PLN,4.9809
2022-09-22,JPY,PLN,0.0266
2022-09-22,CHF,PLN,4.4224
2022-09-22,CAD,PLN,2.958
2022-09-23,USD,PLN,4.0756
2022-09-23,EUR,PLN,4.3792
2022-09-23,GBP,PLN,5.0469
2022-09-23,JPY,PLN,0.0269
2022-09-23,CHF,PLN,4.5709
2022-09-23,CAD,PLN,3.0211
2022-09-24,USD,PLN,4.061
2022-09-24,EUR,PLN,4.2618
2022-09-24,GBP,PLN,4.951
2022-09-24,JPY,PLN,0.0267
2022-09-24,CHF,PLN,4.5097
2022-09-24,CAD,PLN,2.9707
2022-09-25,USD,PLN,4.0379
2022-09-25,EUR,PLN,4.3427
2022-09-25,GBP,PLN,5.0578
2022-09-25,JPY,PLN,0.0272
2022-09-25,CHF,PLN,4.5519
2022-09-25,CAD,PLN,0.3004
2022-09-26,USD,PLN,0.408
2022-09-26,EUR,PLN,4.3379
2022-09-26,GBP,PLN,4.911
2022-09-26,JPY,PLN,0.0269
2022-09-26,CHF,PLN,4.5142
2022-09-26,CAD,PLN,3.0185
2022-09-27,USD,PLN,3.9262
2022-09-27,EUR,PLN,4.2389
2022-09-27,GBP,PLN,5.0528
2022-09-27,JPY,PLN,0.0267
2022-09-27,CHF,PLN,4.4669
2022-09-27,CAD,PLN,2.9572
2022-09-28,USD,PLN,4.0655
2022-09-28,EUR,PLN,4.3399
2022-09-28,GBP,PLN,4.9015
2022-09-28,JPY,PLN,0.0274
2022-09-28,CHF,PLN,4.4284
2022-09-28,CAD,PLN,2.9495
2022-09-29,USD,PLN,4.0006
2022-09-29,EUR,PLN,0.4293
2022-09-29,GBP,PLN,5.0216
2022-09-29,JPY,PLN,0.0271
2022-09-29,CHF,PLN,4.5504
2022-09-29,CAD,PLN,2.9957
2022-09-30,USD,PLN,3.9762
2022-09-30,EUR,PLN,4.3539
2022-09-30,GBP,PLN,4.9767
2022-09-30,JPY,PLN,0.0273
2022-09-30,CHF,PLN,4.5176
2022-09-30,CAD,PLN,3.0297
2022-10-01,USD,PLN,4.0065
2022-10-01,EUR,PLN,4.3201
2022-10-01,GBP,PLN,4.9431
2022-10-01,JPY,PLN,0.0265
2022-10-01,CHF,PLN,4.477
2022-10-01,CAD,PLN,29.7626
2022-10-02,USD,PLN,3.9997
2022-10-02,EUR,PLN,4.2768
2022-10-02,GBP,PLN,4.9246
2022-10-02,JPY,PLN,0.0272
2022-10-02,CHF,PLN,4.5601
2022-10-02,CAD,PLN,2.9498
2022-10-03,USD,PLN,3.9709
2022-10-03,EUR,PLN,4.3762
2022-10-03,GBP,PLN,4.9318
2022-10-03,JPY,PLN,0.0272
2022-10-03,CHF,PLN,4.4279
2022-10-03,CAD,PLN,2.9912
2022-10-04,USD,PLN,3.9209
2022-10-04,EUR,PLN,4.3455
2022-10-04,GBP,PLN,5.0322
2022-10-04,JPY,PLN,0.027
2022-10-04,CHF,PLN,4.494
2022-10-04,CAD,PLN,2.9806
2022-10-05,USD,PLN,4.0276
2022-10-05,EUR,PLN,4.3135
2022-10-05,GBP,PLN,5.0719
2022-10-05,JPY,PLN,0.0027
2022-10-05,CHF,PLN,4.4987
2022-10-05,CAD,PLN,2.9859
2022-10-06,USD,PLN,4.0721
2022-10-06,EUR,PLN,4.2542
2022-10-06,GBP,PLN,5.064
2022-10-06,JPY,PLN,0.027
2022-10-06,CHF,PLN,4.581
2022-10-06,CAD,PLN,2.9885
2022-10-07,USD,PLN,4.034
2022-10-07,EUR,PLN,4.2802
2022-10-07,GBP,PLN,5.0866
2022-10-07,JPY,PLN,0.0265
2022-10-07,CHF,PLN,4.4951
2022-10-07,CAD,PLN,3.026
2022-10-08,USD,PLN,4.0778
2022-10-08,EUR,PLN,4.3552
2022-10-08,GBP,PLN,5.0439
2022-10-08,JPY,PLN,0.0266
2022-10-08,CHF,PLN,4.5529
2022-10-08,CAD,PLN,3.0459
2022-10-09,USD,PLN,3.9739
2022-10-09,EUR,PLN,4.2148
2022-10-09,GBP,PLN,5.054
2022-10-09,JPY,PLN,0.0272
2022-10-09,CHF,PLN,4.5831
2022-10-09,CAD,PLN,2.962
2022-10-10,USD,PLN,3.9228
2022-10-10,EUR,PLN,4.3417
2022-10-10,GBP,PLN,4.9972
2022-10-10,JPY,PLN,0.0269
2022-10-10,CHF,PLN,4.4869
2022-10-10,CAD,PLN,2.9908
2022-10-11,USD,PLN,3.9239
2022-10-11,EUR,PLN,4.3845
2022-10-11,GBP,PLN,4.9877
2022-10-11,JPY,PLN,0.0268
2022-10-11,CHF,PLN,4.4113
2022-10-11,CAD,PLN,29.8313
2022-10-12,USD,PLN,4.0376
2022-10-12,EUR,PLN,4.3539
2022-10-12,GBP,PLN,4.9697
2022-10-12,JPY,PLN,0.0265
2022-10-12,CHF,PLN,4.5687
2022-10-12,CAD,PLN,3.0529
2022-10-13,USD,PLN,4.04
2022-10-13,EUR,PLN,4.3621
2022-10-13,GBP,PLN,4.919
2022-10-13,JPY,PLN,0.0265
2022-10-13,CHF,PLN,4.54
2022-10-13,CAD,PLN,3.0091
2022-10-14,USD,PLN,4.0291
2022-10-14,EUR,PLN,4.2603
2022-10-14,GBP,PLN,4.9953
2022-10-14,JPY,PLN,0.0273
2022-10-14,CHF,PLN,4.4161
2022-10-14,CAD,PLN,2.9414
2022-10-15,USD,PLN,40.6178
2022-10-15,EUR,PLN,4.3622
2022-10-15,GBP,PLN,4.9124
2022-10-15,JPY,PLN,0.0274
2022-10-15,CHF,PLN,4.4486
2022-10-15,CAD,PLN,2.9597
2022-10-16,USD,PLN,4.0023
2022-10-16,EUR,PLN,4.3633
2022-10-16,GBP,PLN,5.0066
2022-10-16,JPY,PLN,0.0027
2022-10-16,CHF,PLN,4.5875
2022-10-16,CAD,PLN,3.0435
2022-10-17,USD,PLN,39.9021
2022-10-17,EUR,PLN,4.2516
2022-10-17,GBP,PLN,4.9809
2022-10-17,JPY,PLN,0.0272
2022-10-17,CHF,PLN,4.4776
2022-10-17,CAD,PLN,3.0165
2022-10-18,USD,PLN,3.9481
2022-10-18,EUR,PLN,4.3641
2022-10-18,GBP,PLN,4.9695
2022-10-18,JPY,PLN,0.0268
2022-10-18,CHF,PLN,4.4435
2022-10-18,CAD,PLN,2.9427
2022-10-19,USD,PLN,4.0096
2022-10-19,EUR,PLN,4.3365
2022-10-19,GBP,PLN,5.0868
2022-10-19,JPY,PLN,0.0266
2022-10-19,CHF,PLN,4.5549
2022-10-19,CAD,PLN,2.9511
2022-10-20,USD,PLN,39.3006
2022-10-20,EUR,PLN,4.2301
2022-10-20,GBP,PLN,5.0994
2022-10-20,JPY,PLN,0.027
2022-10-20,CHF,PLN,4.4754
2022-10-20,CAD,PLN,2.9466
2022-10-21,USD,PLN,4.0643
2022-10-21,EUR,PLN,4.3278
2022-10-21,GBP,PLN,4.988
2022-10-21,JPY,PLN,0.0266
2022-10-21,CHF,PLN,4.5446
2022-10-21,CAD,PLN,2.97
2022-10-22,USD,PLN,4.0576
2022-10-22,EUR,PLN,4.3359
2022-10-22,GBP,PLN,5.047
2022-10-22,JPY,PLN,0.027
2022-10-22,CHF,PLN,4.5744
2022-10-22,CAD,PLN,2.9969
2022-10-23,USD,PLN,4.0605
2022-10-23,EUR,PLN,4.2504
2022-10-23,GBP,PLN,4.9448
2022-10-23,JPY,PLN,0.0268
2022-10-23,CHF,PLN,4.5741
2022-10-23,CAD,PLN,2.9543
2022-10-24,USD,PLN,3.9568
2022-10-24,EUR,PLN,4.24
2022-10-24,GBP,PLN,4.9723
2022-10-24,JPY,PLN,0.0273
2022-10-24,CHF,PLN,4.4583
2022-10-24,CAD,PLN,2.9471
2022-10-25,USD,PLN,4.0489
2022-10-25,EUR,PLN,4.3827
2022-10-25,GBP,PLN,4.9054
2022-10-25,JPY,PLN,0.0273
2022-10-25,CHF,PLN,4.505
2022-10-25,CAD,PLN,3.0096
2022-10-26,USD,PLN,3.9923
2022-10-26,EUR,PLN,4.2966
2022-10-26,GBP,PLN,5.0752
2022-10-26,JPY,PLN,0.0269
2022-10-26,CHF,PLN,4.4741
2022-10-26,CAD,PLN,3.0394
2022-10-27,USD,PLN,3.9646
2022-10-27,EUR,PLN,4.248
2022-10-27,GBP,PLN,5.0542
2022-10-27,JPY,PLN,0.0273
2022-10-27,CHF,PLN,4.48
2022-10-27,CAD,PLN,2.9544
2022-10-28,USD,PLN,3.9656
2022-10-28,EUR,PLN,4.3568
2022-10-28,GBP,PLN,4.955
2022-10-28,JPY,PLN,0.0267
2022-10-28,CHF,PLN,4.5825
2022-10-28,CAD,PLN,2.979
2022-10-29,USD,PLN,4.0187
2022-10-29,EUR,PLN,4.2711
2022-10-29,GBP,PLN,4.9286
2022-10-29,JPY,PLN,0.0267
2022-10-29,CHF,PLN,4.5676
2022-10-29,CAD,PLN,0.3012
2022-10-30,USD,PLN,4.0214
2022-10-30,EUR,PLN,4.2504
2022-10-30,GBP,PLN,5.0646
2022-10-30,JPY,PLN,0.0273
2022-10-30,CHF,PLN,4.4302
2022-10-30,CAD,PLN,0.2966
2022-10-31,USD,PLN,39.6696
2022-10-31,EUR,PLN,4.2613
2022-10-31,GBP,PLN,5.0022
2022-10-31,JPY,PLN,0.0268
2022-10-31,CHF,PLN,4.5739
2022-10-31,CAD,PLN,3.0071
2022-11-01,USD,PLN,4.0195
2022-11-01,EUR,PLN,4.2863
2022-11-01,GBP,PLN,5.0097
2022-11-01,JPY,PLN,0.0266
2022-11-01,CHF,PLN,4.5873
2022-11-01,CAD,PLN,2.973
2022-11-02,USD,PLN,4.0431
2022-11-02,EUR,PLN,4.3407
2022-11-02,GBP,PLN,4.9995
2022-11-02,JPY,PLN,0.0269
2022-11-02,CHF,PLN,4.4514
